Country,Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,NewRecovered,ActiveCases
Dominica,16.45,0.53,98.25,11891,0,63,0,0,145
Yemen,0.04,18.15,76.22,11806,0,2143,0,0,664
"Solomon Islands",1.6,1.16,84.57,11470,0,133,0,0,1637
Monaco,27.29,0.5,97.78,10842,4,54,0,30,187
"Sint Maarten",22.32,0.88,98.33,9758,0,86,0,0,77
Eritrea,0.27,1.06,98.92,9728,0,103,0,0,2
Niger,0.03,3.5,96.3,8810,0,308,0,0,18
"Caribbean Netherlands",32.17,0.38,95.17,8574,0,33,0,0,381
Guinea-Bissau,0.4,2.09,87.67,8151,0,170,0,0,835
Comoros,0.9,1.98,97.87,8093,4,160,0,0,12
"Sierra Leone",0.09,1.63,0.0,7674,0,125,0,0,0
Liberia,0.14,3.97,77.66,7400,0,294,0,0,1359
Chad,0.04,2.61,66.69,7308,0,191,0,0,2243
"British Virgin Islands",20.13,1.01,0.0,6155,0,62,0,0,0
Vanuatu,1.33,0.05,38.87,4237,326,2,0,46,2588
Anguilla,17.72,0.33,99.11,2700,0,9,0,0,15
Samoa,1.16,0.04,32.65,2331,0,1,0,0,1569
Montserrat,3.5,1.14,98.86,175,0,2,0,0,0
"Falkland Islands",3.36,0.0,0.0,123,0,0,0,0,0
"Vatican City",3.6,0.0,96.55,29,0,0,0,0,1
"Western Sahara",0.0,10.0,80.0,10,0,1,0,0,1
"Marshall Islands",0.01,0.0,100.0,7,0,0,0,0,0
China,0.01,3.0,80.09,154738,1506,4638,0,2467,26167
