id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
"656a97f0-ebc6-49bd-8aca-ba2b36ef2e5f",77,Myanmar,Asia,1.11,3.18,13.8,93.04,610858,130,19430,1,568349,404,23079,7598323,55040380,90,2833,7,353.0,0,138050,11098
"ff0aaa9f-fc0e-4469-a70f-cece3c15fbb2",78,"New Zealand",Australia/Oceania,11.95,0.04,138.11,80.81,597745,10278,223,6,483011,14598,114511,6908279,5002100,8,22431,1,45.0,0,1381076,119499
"d4008e11-6975-4ea6-a9d0-aa571c2604aa",79,Palestine,Asia,10.95,0.92,58.02,98.84,580873,0,5345,0,574144,0,1384,3078533,5306284,9,993,2,1007.0,17,580167,109469
"4b172cda-eece-4d9d-959d-5d9bd0152a7a",80,"Dominican Republic","North America",5.24,0.76,29.12,99.2,577841,0,4375,0,573202,0,264,3214009,11035957,19,2523,3,396.0,26,291231,52360
"8ffed1e8-55da-40c5-ba55-c8217745b6d4",81,Estonia,Europe,41.54,0.44,243.1,85.52,551714,647,2439,3,471804,2913,77471,3228608,1328077,2,545,0,1836.0,17,2431040,415423
"0d159598-c97e-485c-a17b-a34a82ae29bd",82,Bahrain,Asia,30.51,0.27,531.1,98.31,550362,0,1468,0,541056,0,7838,9579472,1803695,3,1229,0,814.0,7,5311027,305130
"a4bf948e-feab-40c2-a4f3-8f1845227cb0",83,Venezuela,"South America",1.84,1.09,11.87,98.55,520077,0,5677,0,512537,0,1863,3359014,28296649,54,4984,8,201.0,230,118707,18379
"40ec322d-781b-4601-a88e-ea02e883d286",84,Moldova,Europe,12.76,2.23,78.17,97.12,512602,216,11417,2,497832,334,3353,3140849,4017754,8,352,1,2842.0,61,781742,127584
"7fbd3cf9-04e1-4ecf-8187-7c1a53fcdd39",85,Libya,Africa,7.13,1.28,35.12,97.55,501495,75,6404,7,489231,221,5860,2470013,7032789,14,1098,3,911.0,114,351214,71308
"7844e28f-fac5-4139-9e38-10524822bcc6",86,Egypt,Africa,0.47,4.86,3.5,85.89,500889,0,24361,0,430198,0,46330,3693367,105669592,211,4338,29,231.0,122,34952,4740
"8b530d04-0043-48cc-938c-71395833398f",87,Ethiopia,Africa,0.39,1.6,3.86,92.25,469611,0,7492,0,433197,0,28922,4633008,119882716,255,16001,26,62.0,13,38646,3917
"75989859-6f57-4c6a-82de-9134e3698840",88,Mongolia,Asia,13.89,0.47,119.6,66.94,467982,25,2177,0,313256,0,152549,4030048,3369527,7,1548,1,646.0,192,1196028,138887
"f281c4d9-4a39-44d4-baa9-8deb858d73cb",89,Armenia,Asia,14.21,2.04,99.78,97.0,422458,14,8610,2,409790,33,4058,2966388,2972818,7,345,1,2896.0,0,997837,142107
"06e13c04-2cd2-4b58-89c9-bf5e9673e7de",90,Honduras,"North America",4.13,2.58,12.41,31.17,420621,0,10871,0,131100,0,278650,1263329,10176853,24,936,8,1068.0,105,124137,41331
"f2bd16b1-2a21-42c3-ba7a-62e372619ba6",91,Cyprus,Asia,33.54,0.23,775.19,30.33,410020,4314,932,0,124370,0,284718,9477138,1222553,3,1312,0,762.0,60,7751924,335380
"0c7482a0-3655-48e5-a002-ea7e84e9a5e0",92,Oman,Asia,7.28,1.1,468.96,98.56,388086,47,4250,0,382483,534,1353,25000000,5330967,14,1254,0,797.0,16,4689581,72798
"6f12c131-ea0a-4953-9249-e3a16555b940",93,"Bosnia and Herzegovina",Europe,11.55,4.19,53.33,51.28,374810,0,15702,0,192218,0,166890,1730820,3245540,9,207,2,4838.0,0,533292,115485
"d7b5b1f3-7613-497f-ad47-659c3e7b274f",94,Qatar,Asia,12.85,0.19,121.29,99.49,360868,164,677,0,359017,147,1174,3405613,2807805,8,4147,1,241.0,1,1212909,128523
"07e7a02c-dadf-46fd-b333-03cf9576b9e3",95,Réunion,Africa,36.1,0.21,173.16,96.07,327189,0,702,0,314338,0,12149,1569429,906358,3,1291,1,775.0,41,1731577,360993
"4d0b4ae2-5c78-4099-83c1-106807cc3ca4",96,Kenya,Africa,0.58,1.75,6.27,98.21,323374,9,5647,0,317590,9,137,3499532,55817614,173,9884,16,101.0,1,62696,5793
