,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
44,d1e5413c-287a-449f-bd0d-6bfc56d0b365,43,Hungary,Europe,19.12,2.46,114.92,92.06,1839358,0,45258,0,1693393,0,100707,11053112,9618010,5,213,1,4706.0,70,1149210,191241.0
45,802162af-bec2-4b62-849e-4ecbf1d9c380,44,Jordan,Asia,16.28,0.83,159.72,98.79,1689314,0,14003,0,1668852,0,6459,16575546,10377953,6,741,1,1349.0,276,1597188,162779.0
46,785cd61b-3f21-4b2c-958a-ea07ecdad12c,45,Slovakia,Europe,30.78,1.14,124.68,91.94,1681865,7279,19251,22,1546255,9031,116359,6812898,5464207,3,284,1,3523.0,176,1246823,307797.0
47,81672076-33c2-48e4-81d2-db6ce456cc78,46,Georgia,Asia,41.4,1.01,410.13,98.13,1645959,658,16704,6,1615166,3478,14089,16306613,3975950,2,238,0,4201.0,0,4101312,413979.0
48,935ff8a6-77f1-4114-9403-9cbb7fa9cb99,47,Pakistan,Asia,0.67,1.99,11.97,97.47,1523590,189,30340,4,1485085,367,8165,27328286,228291876,150,7524,8,133.0,451,119708,6674.0
49,aed73591-ee4f-4d22-a0f3-3d025d0b7821,48,Ireland,Europe,28.27,0.47,232.96,89.78,1422945,0,6710,0,1277469,0,138766,11724746,5032978,4,750,0,1333.0,55,2329584,282724.0
50,4d14f059-2c26-4982-8132-fcc9a3e1deb3,49,Norway,Europe,25.4,0.17,179.31,0.0,1395556,0,2339,0,1393217,0,0,9852076,5494408,4,2349,1,426.0,20,1793110,253996.0
51,d1fc1231-ca5a-4f3c-b4cb-4770cdf15a98,50,Kazakhstan,Asia,6.81,1.05,60.4,98.6,1305017,34,13658,1,1286771,797,4588,11575012,19164312,15,1403,2,713.0,528,603988,68096.0
52,75159d96-aba5-49fc-96a1-34fa22ef4770,51,Morocco,Africa,3.09,1.38,29.83,98.57,1162923,82,16057,1,1146239,37,627,11237010,37665587,32,2346,3,426.0,293,298336,30875.0
53,a2f0283a-7995-4463-889c-5bfef1e7796d,52,Bulgaria,Europe,16.51,3.22,139.08,80.08,1132398,0,36425,0,906769,0,189204,9538215,6858165,6,188,1,5311.0,235,1390782,165117.0
54,5de37feb-3a9b-42d2-8c09-345c543829a7,53,Hong Kong,Asia,14.74,0.63,476.99,0.0,1120470,8841,7101,139,1113369,0,0,36260319,7601961,7,1071,0,934.0,115,4769864,147392.0
55,28cc8b8a-2bf8-43a0-935a-02226843eecb,54,Croatia,Europe,26.91,1.42,114.6,97.57,1093098,1587,15509,14,1066581,1751,11008,4654605,4061570,4,262,1,3818.0,41,1146011,269132.0
56,49bd08ef-9b3b-49c0-b8e6-fa7816ff0700,55,Lebanon,Asia,16.1,0.94,70.81,96.25,1090498,290,10278,6,1049584,2856,30636,4795578,6772687,6,659,1,1518.0,186,708076,161014.0
57,e3509c74-070d-4629-b48e-478afa585c60,56,Cuba,North America,9.6,0.78,114.19,98.86,1086361,957,8509,1,1074013,803,3839,12920253,11314682,10,1330,1,752.0,23,1141902,96013.0
58,f7c6cb29-752b-4f13-b419-813680ad7e12,57,Singapore,Asia,18.0,0.12,395.92,94.59,1067157,6434,1246,7,1009408,0,56503,23477384,5929757,6,4759,0,210.0,24,3959249,179966.0
59,eea4bad6-f826-4771-b1e4-d43b3124a0de,58,Tunisia,Africa,8.59,2.72,37.41,0.0,1033731,0,28165,0,1005566,0,0,4500701,12032053,12,427,3,2341.0,63,374059,85915.0
