,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
17,905d7fab-0083-4209-8a10-61f8b3e74994,16,Japan,Asia,4.96,0.44,33.8,92.49,6238879,49063,27485,129,5770149,42125,441245,42521015,125809201,20,4577,3,218.0,733,337980,49590.0
18,f90f48b5-e45e-4039-b963-64af3ef07a1c,17,Colombia,South America,11.74,2.29,65.21,97.25,6082943,366,139544,13,5915963,890,27436,33791079,51817422,9,371,2,2693.0,342,652118,117392.0
19,2ff2436f-a569-44bf-ba29-083ad4f81f70,18,Indonesia,Asia,2.15,2.58,32.76,94.99,5991687,4857,154463,120,5691220,14710,146004,91247204,278507531,46,1803,3,555.0,2771,327629,21514.0
20,6450f181-d69f-44f8-9707-e16ef455de60,19,Poland,Europe,15.71,1.93,93.57,88.95,5933107,8241,114736,110,5277322,7325,541049,35344642,37775174,6,329,1,3037.0,358,935658,157064.0
21,6d301ced-1214-48a3-952e-ffc655c8c284,20,Mexico,North America,4.3,5.71,11.8,87.55,5643963,3658,322432,155,4941341,3699,380190,15490465,131266967,23,407,8,2456.0,4798,118007,42996.0
22,6c1e2aef-eb2e-4cf7-9382-ed1358459d13,21,Ukraine,Europe,11.44,2.18,45.1,0.0,4952913,3630,107811,32,4845102,0,0,19521252,43280972,9,401,2,2491.0,177,451035,114436.0
23,16766eed-520b-48d0-b7a1-f268b1b95520,22,Australia,Australia/Oceania,16.07,0.14,253.04,88.31,4180377,58235,5850,26,3691688,0,482839,65815062,26009686,6,4446,0,225.0,96,2530406,160724.0
24,e104cdc2-f1cc-45de-a101-fc1d50310e23,23,Malaysia,Asia,12.4,0.85,164.5,92.58,4101081,21839,34717,53,3796975,0,269389,54416437,33080501,8,953,1,1049.0,291,1644970,123973.0
25,d16f103a-0088-436d-bac6-0a29535520f9,24,Israel,Asia,41.13,0.27,443.63,97.88,3835700,17635,10460,5,3754540,19976,70700,41373364,9326000,2,892,0,1122.0,300,4436346,411291.0
26,05633ff1-5dc7-49f6-b72a-2052c46ec3e1,25,Czechia,Europe,35.16,1.05,507.5,96.98,3776874,7174,39495,12,3662938,13129,74441,54521816,10743221,3,272,0,3676.0,103,5074997,351559.0
27,fe31ac25-e0fe-49e9-a802-f00e0ed703d4,26,Belgium,Europe,32.3,0.81,279.14,92.54,3771233,13457,30662,27,3489933,8326,250638,32594459,11676549,3,381,0,2626.0,172,2791446,322975.0
28,d2c89dbe-ab3b-4178-8d7d-1c908d7471c8,27,South Africa,Africa,6.12,2.69,39.11,96.93,3710766,1557,99939,7,3596991,1479,13836,23701064,60597103,16,606,3,1649.0,546,391125,61237.0
29,f0e6ea86-a22d-405c-a0c7-63dbb2a2c03f,28,Philippines,Asia,3.28,1.6,25.7,97.2,3676230,411,58831,60,3573250,773,44149,28807213,112094015,30,1905,4,525.0,289,256992,32796.0
30,3648e894-a54c-41c8-8abf-4994e7b2b79c,29,Austria,Europe,40.3,0.43,1901.11,87.57,3665003,37910,15619,40,3209448,40562,439936,172904852,9094959,2,582,0,1717.0,240,19011064,402971.0
31,c5905947-ac1b-4bbb-8985-e794bb6ab6c3,30,Peru,South America,10.5,5.98,84.11,0.0,3543790,0,212022,0,3331768,0,0,28399228,33763193,10,159,1,6280.0,527,841130,104960.0
32,b012c316-0e20-4bfe-9ce2-edf9dcca2f0b,31,Thailand,Asia,4.96,0.71,24.64,92.27,3477030,26050,24651,69,3208271,22219,244108,17270775,70101829,20,2844,4,352.0,1496,246367,49600.0
33,9fb86a08-d197-4fcb-b08a-bebbe5f6c642,32,Portugal,Europe,34.09,0.62,391.64,0.0,3458727,0,21408,0,3437319,0,0,39734174,10145471,3,474,0,2110.0,66,3916444,340913.0
34,e25f14b6-e3e8-4944-bef8-81d695a18188,33,Canada,North America,8.97,1.09,154.37,94.98,3436187,6344,37409,49,3263668,3283,135110,59142418,38312403,11,1024,1,976.0,409,1543689,89689.0
35,4a532c8d-46b7-45ea-b6a4-eb4966239356,34,Chile,South America,17.71,1.64,180.9,83.47,3434908,8761,56222,75,2867073,27134,511613,35092861,19398973,6,345,1,2898.0,707,1809006,177066.0
36,1653a805-d080-4261-8e3f-dd2c7fef64bf,35,Switzerland,Europe,38.84,0.4,233.84,79.65,3403549,11188,13646,2,2710844,16968,679059,20493186,8763693,3,642,0,1557.0,150,2338419,388369.0
37,311c2c2c-2484-42eb-a30b-e163a001a74e,36,Greece,Europe,28.06,0.94,702.76,89.94,2900334,16234,27160,35,2608489,11944,264685,72632740,10335314,4,381,0,2628.0,346,7027628,280624.0
38,9aa3efef-70e8-4d44-bb06-5113e05a298a,37,Denmark,Europe,49.58,0.19,2173.68,96.59,2889288,5351,5542,24,2790902,13004,92844,126668057,5827355,2,1051,0,951.0,19,21736801,495815.0
39,4a525969-421a-4975-ae32-bfca080f31ec,38,Romania,Europe,14.91,2.29,115.29,91.92,2835749,3725,64867,32,2606660,0,164222,21924341,19016536,7,293,1,3411.0,415,1152909,149120.0
40,1846091c-6ef4-4641-8231-afcf4a6a77b6,39,Sweden,Europe,24.31,0.73,180.09,97.38,2481736,0,18155,0,2416719,0,46862,18382831,10207790,4,562,1,1779.0,32,1800863,243122.0
41,7d322f05-e02b-40f5-bd69-577adea222a3,40,Iraq,Asia,5.55,1.09,43.75,98.29,2317498,370,25145,7,2277871,746,14482,18278080,41776904,18,1661,2,602.0,62,437516,55473.0
