Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered
0.47,3.05,96.7,11986,0,365,0,11591
21.02,0.18,23.06,11971,0,21,0,2761
0.04,18.15,75.68,11803,0,2142,0,8933
16.3,0.53,97.59,11787,0,63,0,11503
26.51,0.51,96.41,10530,0,54,0,10152
1.46,1.24,21.05,10426,0,129,0,2195
24.9,0.64,14.11,9912,0,63,0,1399
0.27,1.06,98.93,9724,0,103,0,9620
22.15,0.89,98.93,9682,0,86,0,9578
0.03,3.5,96.25,8801,0,308,0,8471
30.54,0.38,95.89,8136,0,31,0,7802
0.4,2.08,87.34,8131,0,169,0,7102
0.9,1.98,97.9,8081,0,160,0,7911
0.09,1.63,0.0,7674,0,125,0,7549
7.53,1.8,98.12,7482,0,135,0,7341
0.14,3.97,77.69,7397,0,294,0,5747
0.04,2.61,66.9,7286,0,190,0,4874
6.05,1.57,98.38,6746,0,106,0,6637
20.08,1.01,0.0,6141,0,62,0,6079
2.63,1.23,98.67,5945,0,73,0,5866
14.86,0.61,98.95,5888,0,36,0,5826
10.3,0.76,99.24,5548,0,42,0,5506
38.07,0.16,0.0,3780,0,6,0,3774
17.28,0.34,99.32,2633,0,9,0,2615
0.69,0.05,25.41,2204,0,1,0,560
31.0,0.06,72.09,1781,0,1,0,1284
0.55,0.0,5.88,1105,0,0,0,65
4.17,1.54,96.48,454,0,7,0,438
3.5,1.14,98.29,175,0,2,0,172
3.26,0.0,0.0,119,0,0,0,0
0.01,0.0,97.56,82,0,0,0,80
3.61,0.0,96.55,29,0,0,0,28
0.0,10.0,80.0,10,0,1,0,8
0.01,0.0,100.0,7,0,0,0,7
0.01,3.24,77.52,143240,1254,4638,0,111035
